玩法,档位,价格元/计时按小时,情景,模型,期望毛W/元,估算净W/元,毛中位,毛P10,毛P90,200局结单率,平均局数,备注
千万才是开始,基础档,388.0,pressure,thousand,10.644224,8.315342,9.405986,5.28629,17.900102,1.0,11.611833,
千万才是开始,基础档,388.0,base,thousand,14.220616,11.821558,12.579188,4.852351,25.617826,1.0,11.474667,
千万才是开始,基础档,388.0,search,thousand,17.228798,14.83607,14.734473,6.215666,31.993146,1.0,10.929833,
千万才是开始,高档,888.0,pressure,thousand,7.897428,6.168958,7.225656,4.176388,12.545343,1.0,19.742167,
千万才是开始,高档,888.0,base,thousand,11.8436,9.844301,11.01186,6.273378,18.548083,1.0,21.878,
千万才是开始,高档,888.0,search,thousand,16.745789,14.417524,15.738117,9.07439,25.679445,1.0,24.356333,
战争贩子,金弹小子,488.0,pressure,war,11.859557,9.260233,11.49702,7.532983,16.632276,1.0,16.322833,
战争贩子,金弹小子,488.0,base,war,8.160702,6.781244,7.866473,5.455629,11.213872,1.0,8.308333,
战争贩子,金弹小子,488.0,search,war,6.526461,5.623201,6.247029,4.600256,8.764701,1.0,5.177833,
战争贩子,子弹大王,688.0,pressure,war,8.783785,6.860754,8.43924,5.965232,12.031653,1.0,17.016667,
战争贩子,子弹大王,688.0,base,war,6.739968,5.602355,6.434804,5.057803,8.85243,1.0,9.655667,
战争贩子,子弹大王,688.0,search,war,6.139976,5.289452,5.858681,4.765917,7.853982,1.0,6.881833,
战争贩子,AW高阶档,1088.0,pressure,war,13.879468,10.833754,9.398811,4.790627,29.712851,0.993667,42.662167,
战争贩子,AW高阶档,1088.0,base,war,44.691776,37.142934,38.698926,8.575664,88.365217,0.798167,101.397333,
战争贩子,AW高阶档,1088.0,search,war,97.884133,84.264372,109.377127,42.430433,119.373839,0.246833,174.828833,
狗牌收集计划,单局15个身份牌,488.0,pressure,dog,44.669902,34.857591,32.855519,7.600737,103.121805,0.9555,61.6965,任务牌值不等于老板实际带出；价值门槛档只计队内击杀。
